__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 15:33:02.300,2,2,2,1,2,0,0,0,-895,-1537,-10448,125,-6644,-4197,1,0,0,0,0,0,0,0,-12217,4143,-16294,9218,-18120,-6584
'2017-08-02 15:33:02.310,2,2,2,0,2,0,0,0,-787,-1769,-9744,500,-7209,-3242,1,0,0,0,0,0,0,0,-8364,7617,-17033,10599,-20092,-4744
'2017-08-02 15:33:02.320,2,2,2,0,2,0,0,0,-837,-521,-9899,-333,-7887,-2881,1,0,0,0,0,0,0,0,-6887,9335,-14535,8437,-19967,-1635
'2017-08-02 15:33:02.330,2,2,2,0,2,0,0,0,-828,-1749,-9748,-481,-8530,-2510,1,0,0,0,0,0,0,0,-7657,9046,-10474,3632,-20311,1052
'2017-08-02 15:33:02.340,2,2,2,0,2,0,0,0,-1223,-1987,-10607,-1042,-9360,-2053,0,0,0,0,0,0,0,0,-8507,7543,-8740,-2175,-21510,3068
'2017-08-02 15:33:02.350,2,2,2,0,2,0,0,0,-1302,-1835,-12072,-1275,-10256,-1222,0,0,0,0,0,0,0,0,-7671,4332,-8821,-5728,-22971,4255
'2017-08-02 15:33:02.360,2,2,2,0,2,0,0,0,-976,-52,-12720,-1044,-11606,-788,0,0,0,0,0,0,0,0,-6599,1072,-8251,-5501,-24005,4242
'2017-08-02 15:33:02.370,2,2,2,0,2,0,0,0,-1209,1517,-12745,-715,-13545,-1048,0,0,0,0,0,0,0,0,-5678,-199,-6922,-2140,-24284,3234
'2017-08-02 15:33:02.380,2,2,2,0,2,0,0,0,-1029,1702,-12833,-170,-15915,-1542,0,0,0,0,0,0,0,0,-4746,563,-7177,1933,-23911,1835
'2017-08-02 15:33:02.390,2,2,2,0,2,0,0,0,-1209,1474,-12545,540,-17350,-2063,0,0,0,0,0,0,0,0,-3838,2863,-7536,4052,-23258,336
'2017-08-02 15:33:02.400,2,2,2,0,2,0,0,0,-1106,1364,-12283,1665,-18405,-2643,0,0,0,0,0,0,0,0,-3290,5405,-7549,3256,-22348,-753
'2017-08-02 15:33:02.410,2,2,2,0,2,0,0,0,-1232,972,-14436,2213,-20070,-3121,0,0,0,0,0,0,0,0,-2874,7008,-7612,283,-21450,-1344
'2017-08-02 15:33:02.420,2,2,2,0,2,1,0,0,-1072,931,-16485,1962,-22824,-3329,0,0,0,0,0,0,0,0,-2550,7358,-8045,-3280,-20806,-1722
'2017-08-02 15:33:02.430,2,2,2,0,2,1,0,0,-526,2174,-21644,1645,-26007,-3576,0,0,0,0,0,0,0,0,-2113,6542,-8787,-5672,-20491,-2199
'2017-08-02 15:33:02.440,2,2,2,0,2,1,0,0,-2830,4449,-25846,968,-29915,-3897,0,0,0,0,0,0,0,0,-1404,6445,-10128,-6738,-20423,-3216
'2017-08-02 15:33:02.450,2,2,2,0,2,1,0,0,-5752,7373,-32687,-766,-32768,-4698,0,0,0,0,0,0,0,0,-1091,6572,-10553,-6964,-20434,-3479
'2017-08-02 15:33:02.460,2,2,2,0,2,1,0,0,-4068,7298,-32726,-1584,-32744,-6800,0,0,0,0,0,0,0,0,-575,7151,-11794,-7731,-20337,-3867
'2017-08-02 15:33:02.470,2,2,2,0,2,0,0,0,-4262,13931,-32768,-3609,-32768,-8834,0,0,0,0,0,0,0,0,-32,7563,-12935,-8992,-19984,-4069
'2017-08-02 15:33:02.480,2,2,1,0,1,0,0,0,-1140,13308,-32768,-3689,-32768,-11739,0,0,0,0,0,0,0,0,468,7613,-14051,-10184,-19406,-4055
'2017-08-02 15:33:02.490,2,2,1,0,1,0,0,0,2391,11833,-32768,-3089,-32768,-14457,0,0,0,0,0,0,0,0,1164,7526,-15678,-11303,-18461,-4022
'2017-08-02 15:33:02.500,2,1,0,0,0,0,0,0,16273,13263,-25731,3479,-32768,-16604,0,0,0,0,0,0,0,0,2396,7285,-17456,-11591,-18150,-4129
'2017-08-02 15:33:02.510,1,1,0,0,0,0,0,0,24152,7387,-5572,8709,-27542,-15998,0,0,0,0,0,0,0,0,5518,6745,-19211,-12172,-17361,-4431
'2017-08-02 15:33:02.520,1,1,0,0,0,0,0,0,3240,12886,-22205,6494,-23581,-4108,0,0,0,0,0,0,0,0,9461,5512,-20636,-12381,-14871,-5024
'2017-08-02 15:33:02.530,1,1,0,0,0,0,0,0,24234,4241,-13892,2924,2273,8736,0,0,0,0,0,0,0,0,16236,3989,-20906,-12547,-12649,-5133
'2017-08-02 15:33:02.540,0,1,0,0,0,0,0,0,17199,3983,-22108,7790,15431,16639,0,0,0,0,0,0,0,0,20291,3671,-20997,-13100,-10957,-4865
'2017-08-02 15:33:02.550,0,1,0,0,0,0,0,0,11743,5049,-21507,15239,19353,19468,0,0,0,0,0,0,0,0,23970,3606,-20555,-14907,-10786,-4350
'2017-08-02 15:33:02.560,0,0,0,0,0,0,0,0,13150,9526,-15140,18314,19369,17416,0,0,0,0,0,0,0,0,27570,766,-19363,-16949,-12132,-3829
'2017-08-02 15:33:02.570,0,0,0,0,0,0,0,0,13358,12019,-10358,14047,19844,12905,0,0,0,0,0,0,0,0,31469,-3399,-17960,-18208,-13684,-3188
'2017-08-02 15:33:02.580,0,0,0,0,0,0,0,0,13718,12246,-8731,3974,21819,7814,0,0,0,0,0,0,0,0,-32768,-8345,-15580,-17453,-14433,-2192
'2017-08-02 15:33:02.590,0,0,0,0,0,0,0,0,13839,8867,-8940,-7126,25142,3286,0,0,0,0,0,0,0,0,-32768,-12543,-11751,-13371,-14314,-353
'2017-08-02 15:33:02.600,0,0,0,0,0,0,0,0,12720,3658,-10072,-14313,29022,645,0,0,0,0,0,0,0,0,-32768,-13959,-9909,-6603,-13569,2578
'2017-08-02 15:33:02.610,0,0,0,0,0,0,0,0,9771,-1035,-11669,-16263,32102,415,0,0,0,0,0,0,0,0,-32768,-14603,-9462,532,-12378,5581
'2017-08-02 15:33:02.620,0,0,0,0,0,0,0,0,5733,-4287,-13202,-13171,32767,2149,0,0,0,0,0,0,0,0,-32768,-12244,-11454,5689,-10250,7671
'2017-08-02 15:33:02.630,0,0,0,0,0,0,0,0,3311,-5807,-11786,-7031,32269,4553,0,0,0,0,0,0,0,0,-32768,-32768,-22741,22994,-939,7779
'2017-08-02 15:33:02.640,0,0,0,0,0,0,0,0,2384,-4396,-10661,-585,30285,6548,0,0,0,0,0,0,0,0,-1147,7337,2175,25187,7620,5210
'2017-08-02 15:33:02.650,0,0,0,0,0,0,0,0,1516,-1248,-11558,3714,28145,7345,0,0,0,1,0,0,0,2,2813,-961,-32768,17300,7468,111
'2017-08-02 15:33:02.660,0,0,0,0,0,0,0,0,1072,2427,-12594,4623,26401,6989,0,0,0,2,0,0,0,2,-6576,3749,-9749,8373,1888,-7389
'2017-08-02 15:33:02.670,0,0,0,0,0,0,0,0,1408,5115,-13219,2570,25420,5661,0,0,0,2,0,0,0,2,1933,-2460,-18162,11354,8435,-6113
'2017-08-02 15:33:02.680,0,0,0,0,0,0,0,0,1830,6339,-14226,-890,25010,3925,0,0,0,2,0,0,1,2,-1072,-2038,-18607,13351,9240,-3002
'2017-08-02 15:33:02.690,0,0,0,0,0,0,0,0,1886,6696,-15777,-4249,24951,2404,0,0,0,2,0,0,1,2,6016,-646,-15089,11268,4028,-1337
'2017-08-02 15:33:02.700,0,0,0,0,0,0,0,0,1742,6659,-17872,-7040,25150,1626,0,0,0,2,0,0,1,2,1178,171,-11771,8884,2103,-934
'2017-08-02 15:33:02.710,0,0,0,0,0,0,0,0,1347,6327,-20135,-9179,25426,1555,0,0,0,2,0,0,2,2,-336,351,-10705,6860,1438,-1489
'2017-08-02 15:33:02.720,0,0,0,0,0,0,0,0,287,6295,-22944,-10321,25824,2157,0,0,0,2,0,0,2,2,-474,-1206,-10107,4929,1013,-332
'2017-08-02 15:33:02.730,0,0,0,0,0,0,0,0,-4479,7398,-24046,-10015,26621,3473,0,0,0,2,0,0,2,2,395,-393,-9269,2422,522,6
'2017-08-02 15:33:02.740,0,0,0,0,0,0,0,0,-7501,8964,-26441,-9986,27059,3950,0,0,0,2,0,0,2,2,-15,944,-9257,1167,-110,-380
'2017-08-02 15:33:02.750,0,0,0,0,0,0,0,0,-12999,9054,-27818,-12882,26285,3366,0,0,0,2,0,0,2,2,-1008,942,-9723,864,-359,-25
'2017-08-02 15:33:02.760,0,0,0,0,0,0,0,0,-18590,7699,-30001,-16704,24400,2660,0,0,0,2,0,0,2,2,-824,197,-9798,261,-106,176
'2017-08-02 15:33:02.770,0,0,0,0,0,0,0,0,-25330,4540,-30058,-19963,21814,2120,0,0,0,2,0,0,2,2,-992,325,-9064,-601,143,190
'2017-08-02 15:33:02.780,0,0,0,0,0,0,0,0,-32336,-72,-28455,-21623,19255,1998,0,0,0,2,0,0,1,2,-674,655,-8961,-1188,171,313
'2017-08-02 15:33:02.790,0,0,0,0,0,0,0,0,-32735,-6013,-25776,-20820,16850,2217,0,0,0,2,0,0,1,2,-1131,858,-8985,-1408,391,397
'2017-08-02 15:33:02.800,0,0,0,0,0,0,0,0,-32767,-11361,-16853,-15312,15027,2492,0,0,0,2,0,0,1,2,-1371,1182,-8735,-1401,1082,445
'2017-08-02 15:33:02.810,0,0,0,0,0,0,0,0,-32767,-11177,-7822,-6163,13268,1484,0,0,0,2,0,0,1,2,-958,1509,-8586,-1186,1638,428
'2017-08-02 15:33:02.820,0,0,0,0,0,0,0,0,-32767,-7044,-5004,3326,10061,-1804,0,0,0,2,0,0,1,2,-742,2020,-7911,-479,1918,459
'2017-08-02 15:33:02.830,0,0,0,0,0,0,0,0,-32767,-3922,-5487,6910,6018,-5004,0,0,0,2,0,0,1,2,-1193,2233,-7432,761,2329,562
'2017-08-02 15:33:02.840,0,0,0,0,0,0,0,0,-32767,-3495,-7463,4024,2672,-5557,0,0,0,2,0,0,1,2,-988,2139,-7758,1998,2711,497
'2017-08-02 15:33:02.850,0,0,0,0,0,0,0,0,-32767,-6757,-6613,2022,-527,-3983,0,0,0,2,0,0,1,2,-838,1202,-8143,2971,3001,573
'2017-08-02 15:33:02.860,0,0,0,1,0,0,0,0,-32050,-12367,-32572,13541,-10272,-1571,0,0,0,2,0,0,1,2,-806,931,-8377,3367,3173,603
'2017-08-02 15:33:02.870,0,0,0,2,0,0,0,2,24910,9828,14165,9225,-18528,1246,1,0,0,2,0,0,1,2,-979,1064,-8459,3663,3539,722
'2017-08-02 15:33:02.880,0,0,0,2,0,0,1,2,14906,167,-11604,15538,-18753,3897,1,1,1,2,0,0,1,2,-411,617,-8880,3782,3612,829
